,0_1,1_2,1_3
0,1.9289036883897024e-05,18.242441191758296,4.448385988641774e-05
1,-3.695770802207094e-08,2.692914349783839e-06,-6.77082419223804e-06
2,-1.3916852905203043,-0.33936106257205617,-8.573997370808653e-05
3,19.43077869754788,5.013397219317025e-05,-0.5899746656720771
4,-1.7516161880851011e-06,3.091451488441194e-06,-7.237087432563409e-07
5,2.398035493977357e-06,-1.1712146129073708e-05,-4.8233315804087664e-05
6,4.572628719103036e-06,1.407565804229071e-06,-1.503997580932988e-05
7,-2.492641094902683e-07,-1.7099320831184982e-06,-5.614377898100654e-05
8,-1.3489656610337691e-05,-2.647533827800208e-05,10.837571912989311
9,-8.244639388474897e-06,2.0775164190550313e-05,-9.29798651006798e-05
10,-1.0197245654821013e-05,-1.768764631457531e-05,0.6718467274530346
11,-10.436192899677682,-7.630241489372164,-2.737484976886071
